label,label_en
Amusé,Amused
Anxieux,Anxious
Aucune,None
Concentré,Attentive
Confiant,Confident
Confus,Confused
Dégoûté,Disgusted
Détendu,Relaxed
Empathique,Empathetic
Enervé,Annoyed
Envieux,Envious
Frustré,Frustrated
Insatisfait,Disappointed
Intéressé,Interested
Irrité,Irritated
Lassé,Bored
Ravi,Delighted
Satisfait,Satisfied
Soulagé,Relieved
Stressé,Stressed
Surpris,Surprised
